math_score,reading_score,writing_score,placement_score,club_join_year,placement_offer_count
75,75,73,73,2020,1
80,70,70,78,2021,2
72,64,69,76,2019,1
70,60,80,96,2018,3
,62,70,78,2022,2
73,78,74,,2019,1
74,64,61,90,2022,3
73,64,64,95,2019,1
63,66,70,67,2021,1
88,78,65,79,2022,2
71,,69,74,2022,3
67,79,80,70,2022,1
61,77,92,92,2018,3
72,74,78,97,2019,3
62,72,62,95,2022,3
69,60,78,80,2020,1
66,77,62,67,2021,1
64,76,70,99,2022,3
63,78,,62,2021,1
80,67,78,68,2020,3
65,63,61,98,2020,3
,75,68,99,2018,3
71,67,62,79,2022,2
63,85,90,79,2019,2
60,76,68,71,2022,1
77,67,60,74,2022,1
75,62,80,97,2018,2
60,80,73,93,2021,3
63,63,78,70,2019,3
